Unique name,superclass 1
integral valve seat,valve seat
iris valve,valve
jacketed valve,valve
jacketed valve body,valve body
jacketed valve bonnet,valve bonnet
knife gate,gate valve closure member
knife gate valve,gate valve
lift check valve,check valve
linear cage trim,cage trim
lined butterfly valve,butterfly valve
lined diaphragm valve,diaphragm valve
lined plug valve,non lubricated plug valve
low noise control valve,actuated valve
lubricated plug valve,plug valve
lubricated valve plug,plug valve closure member
manual control valve,valve
manual valve operating device,valve operating device
manually operated valve,valve
membrane control valve,actuated valve
membrane valve,valve
mixing valve,control valve
motor operated valve,operated valve
motor operated valve actuator,valve actuator
mud discharge valve,valve
mud tank plug valve,valve
mud valve,valve
multi way valve,valve
multiple seat control valve,actuated valve
multiple seat valve,valve
multiport valve,valve
narrow seat type disc,globe valve closure member
needle valve,globe valve
non lubricated plug valve,plug valve
non lubricated valve plug,plug valve closure member
non rising valve stem,rotating valve stem
non vented valve bonnet,valve bonnet
non-return valve,valve
offset valve disc,butterfly valve closure member
one piece ball valve,ball valve
one piece ball valve body,ball valve body
one way flow regulator,fluid regulator
on-off valve,actuated valve
operated valve,valve
packed valve bonnet lever,valve bonnet lever
parallel double disc gate,parallel gate
parallel eccentric valve plug,parallel valve plug
parallel expanding valve plug,parallel valve plug
parallel gate,gate valve closure member
parallel gate valve,gate valve
parallel lined valve plug,parallel non lubricated valve plug
parallel lubricated valve plug,parallel valve plug
parallel non lubricated valve plug,parallel valve plug
parallel plug valve,plug valve
parallel slab gate,parallel gate
parallel sleeved valve plug,parallel non lubricated valve plug
parallel slide valve,parallel gate valve
parallel valve plug,plug valve closure member
penstock valve,gate valve
pilot operated relief valve,pressure relief valve
pilot valve,valve
pinch valve,membrane valve
pinch valve body,valve body
piston check valve,lift check valve
piston type disc,check valve closure member
piston valve,globe valve
plain valve bonnet lever,valve bonnet lever
plate check valve,check valve
plug control valve,actuated valve
plug globe valve,globe valve
plug valve,rotary valve
plug valve body,valve body
plug valve bonnet,valve bonnet
plug valve closure member,valve closure member
plug valve with lifting plug,non lubricated plug valve
pneumatic directional control valve,slide valve
