Unique name,superclass 1
gyro stabilised antenna,antenna
h2s analyser,analysing instrument
h2s detector,gas detector
hardness analyser,analysing instrument
hastelloy c-276 diaphragm,chemical seal diaphragm
hc gas infrared point detector,infrared detecting element
heat detector,detector
heat detector for surface mounting,heat detector
hf antenna,antenna
hf in air detector,gas detector
hour counter,counter
hours run meter,detecting instrument
humidity detector,detector
humidity sensor,detecting element
hydraulic actuator,actuator
hydraulic controller,controller
hydraulic piston actuator,hydraulic actuator
hydraulic speed governor,speed governor
hydraulic valve actuator,hydraulic actuator
hydrocarbons in water detector,detector
inclinometer,detecting instrument
indicating instrument,physical object
indicator glass,sight glass
indicator housing,instrument housing
indicator scale,physical object
induction instrument,process instrument
infrared analyser,analysing instrument
infrared beam,physical object
infrared detecting element,detecting element
infrared flame detector,flame detector
infrared gas detector,gas detector
infrared light source,light source
infrared receiver,signal receiver
ink jet recorder,recording instrument
in-line instrument body,instrument body
in-line mounted instrument,process instrument
in-line ultrasonic flow meter,ultrasonic flow meter
input - output circuit board,interface card
input circuit board,input - output circuit board
insert type rupture disc holder,rupture disc holder
instrument body,housing
instrument body liner,liner
instrument dial,physical object
instrument housing,enclosure
instrument level flange,instrument process flange
instrument mounting bracket,bracket
instrument mounting bracket for 2 ins pipe,pipe mounting bracket
instrument panel,physical object
instrument process connection,orifice flange
instrument process flange,pipe flange
instrument rack,support
instrument with limit switches,detecting instrument
instrument with locking device,detecting instrument
instrument with optical index,indicating instrument
instrument with suppressed zero,process instrument
integral orifice paddle,handle
integrating meter,detecting instrument
integrating power meter,integrating meter
integrating reactive power meter,integrating meter
interface card,distribution board
internal power supply,power supply
intrinsically safe barrier,current limiter
ionisation flame detector,flame detector
ionization smoke detector,smoke detector
isochronous speed governor,speed governor
joystick,lever
keyboard,control panel
knock sensor,detecting element
laser printer,printing machine
leak detector,detector
led display,display
level controller,controller
level detector,detector
level float transmitter,level transmitter
level gauge,gauge
level indicator,indicating instrument
level meter,detecting instrument
level regulator,regulator
level sensor,detecting element
level switch,functional switch
level transmitter,transmitter
lever,physical object
light source,physical object
light-emitting diode,diode
line voltage detector,detector
linear temperature indicator,temperature indicator
lined rupture disc,rupture disc
liquid crystal display,display
liquid density analyser,density analyser
log periodic antenna,antenna
loudspeaker,transducer
magnetic actuator,actuator
magnetic inductive pickoff,electronic sensor
magnetic level gauge,level gauge
magnetic level meter,level meter
magnetic reluctance pickoff,electronic sensor
magnetometer,detecting instrument
manometer,pressure gauge
manual loader,mechanical controller
mass flow meter,flow meter
mass flow meter body,in-line instrument body
mass flow meter tube,meter tube
mass flow transmitter,flow transmitter
mechanical controller,controller
mechanical positioner,mechanical controller
mechanical speed governor,speed governor
memory chip,integrated circuit
mercaptan analyser,gas analyser
meter run,physical object
meter tube,pipe
mf antenna,antenna
micro switch,pilot switch
microwave transducer,electroacoustic transducer
mist detector,detector
modulated carrier frequency pickoff,electronic sensor
moisture detector,detector
moisture meter,detecting instrument
moisture sensing element,detecting element
monel diaphragm,chemical seal diaphragm
monitor,physical object
monitor channel,physical object
motherboard,electronic circuit board
moving-iron instrument,induction instrument
moving-magnet instrument,induction instrument
moving-scale instrument,indicating instrument
multi point indicator,indicating instrument
multi point recorder,recording instrument
multimeter,detecting instrument
multiphase meter,flow meter
multiple pitot tube flow meter,pitot tube flow meter
multiplexor,transmitter
multiport pitot tube,pitot tube
negative resistance temperature element,resistance temperature element
non wetted transducer,transducer
non-dispersive infra-red gas analyser,gas analyser
nox analyser,analysing instrument
nuclear magnetic resonance spectroscopy analyser,analysing instrument
nucleonic level switch,level switch
nucleonic level transmitter,level transmitter
nutating disk,flow meter rotor
nutating disk flow meter,positive displacement flow meter
octane number analyser,analysing instrument
off-line analyser,analysing instrument
offset reflector antenna,antenna
oil in water analyser,analysing instrument
oil mist detector,mist detector
one-piece paddle orifice plate,paddle orifice plate
on-line analyser,analysing instrument
on-line process gas chromatograph,gas chromatograph
open channel flow meter,flow meter
operator interface panel,control panel
optical smoke detector,smoke detector
orifice and tapered plug flow meter,variable area flow meter
orifice flange,pipe flange
